Year,Week,Deaths,Population,BaselineRate,Expected,Excess,CumulativeExcess
2000,51,1094.0,13711508,6.110013101885997e-05,837.7749352661466,256.2250647338534,21191.635068762673
2000,52,1066.0,13711508,5.932282698132856e-05,813.4054167371024,252.59458326289757,21444.22965202557
2001,0,53334.0,13812574,0.0031273346229771888,43196.54090263452,10137.459097365478,10137.459097365478
2001,1,1028.0,13812574,5.573116995058337e-05,769.7909090490091,258.2090909509909,10395.66818831647
2001,2,1036.0,13812574,6.248295679588379e-05,863.0504644819478,172.94953551805224,10568.61772383452
2001,3,1050.0,13812574,6.0648388951308274e-05,837.7103603707279,212.28963962927207,10780.907363463793
2001,4,1074.0,13812574,6.303471984937163e-05,870.6717324887145,203.3282675112855,10984.235630975078
2001,5,1024.0,13812574,6.291327320498503e-05,868.9942417260729,155.00575827392709,11139.241389249006
2001,6,972.0,13812574,6.309039282329553e-05,871.4407195608385,100.55928043916151,11239.800669688168
2001,7,1040.0,13812574,6.257332526826375e-05,864.298685693963,175.70131430603703,11415.501983994203
2001,8,950.0,13812574,6.355170356345632e-05,877.8126082963041,72.18739170369588,11487.6893756979
2001,9,1014.0,13812574,6.234309098968312e-05,861.1185576837314,152.8814423162686,11640.570818014168
2001,10,1026.0,13812574,6.360417210696744e-05,878.5373339362237,147.46266606377628,11788.033484077945
2001,11,1038.0,13812574,6.355134421915103e-05,877.8076448264958,160.1923551735042,11948.225839251449
2001,12,1082.0,13812574,6.243219480709679e-05,862.3493107554401,219.65068924455989,12167.876528496008
2001,13,1070.0,13812574,6.0073884716307294e-05,829.7749781114635,240.2250218885365,12408.101550384545
